rep,algo,size,R,block,section,dur
0,gpu-v2,1000,30,32,total,3.053760e-04
0,gpu-v2,1000,30,32,kernel,7.168000e-06
0,gpu-v3,1000,30,32,total,2.994880e-04
0,gpu-v3,1000,30,32,kernel,7.168000e-06
0,gpu-v1,1000,30,64,total,3.238720e-04
0,gpu-v1,1000,30,64,kernel,7.168000e-06
0,gpu-v2,1000,30,64,total,3.088320e-04
0,gpu-v2,1000,30,64,kernel,8.192000e-06
0,gpu-v3,1000,30,64,total,3.030720e-04
0,gpu-v3,1000,30,64,kernel,8.192000e-06
0,gpu-v1,1000,30,128,total,3.011520e-04
0,gpu-v1,1000,30,128,kernel,7.168000e-06
0,gpu-v2,1000,30,128,total,2.979520e-04
0,gpu-v2,1000,30,128,kernel,1.024000e-05
0,gpu-v3,1000,30,128,total,3.048640e-04
0,gpu-v3,1000,30,128,kernel,8.192000e-06
0,gpu-v1,1000,30,192,total,2.899840e-04
0,gpu-v1,1000,30,192,kernel,7.168000e-06
0,gpu-v2,1000,30,192,total,3.031040e-04
0,gpu-v2,1000,30,192,kernel,1.433600e-05
0,gpu-v3,1000,30,192,total,3.074560e-04
0,gpu-v3,1000,30,192,kernel,8.192000e-06
0,gpu-v1,1000,30,256,total,2.995200e-04
0,gpu-v1,1000,30,256,kernel,7.168000e-06
0,gpu-v2,1000,30,256,total,3.016640e-04
0,gpu-v2,1000,30,256,kernel,1.638400e-05
0,gpu-v3,1000,30,256,total,2.995200e-04
0,gpu-v3,1000,30,256,kernel,7.168000e-06
0,gpu-v1,1000,30,512,total,2.944640e-04
0,gpu-v1,1000,30,512,kernel,8.128000e-06
0,gpu-v2,1000,30,512,total,3.362880e-04
0,gpu-v2,1000,30,512,kernel,4.300800e-05
0,gpu-v3,1000,30,512,total,2.942720e-04
0,gpu-v3,1000,30,512,kernel,8.192000e-06
0,gpu-v1,1000,30,1024,total,2.979840e-04
0,gpu-v1,1000,30,1024,kernel,9.216001e-06
0,gpu-v2,1000,30,1024,total,4.344000e-04
0,gpu-v2,1000,30,1024,kernel,1.484800e-04
0,gpu-v3,1000,30,1024,total,3.099200e-04
0,gpu-v3,1000,30,1024,kernel,8.192000e-06
0,cpu,1000,300,,,5.941680e-04
0,gpu-v1,1000,300,32,total,3.113600e-04
0,gpu-v1,1000,300,32,kernel,2.662400e-05
0,gpu-v2,1000,300,32,total,3.070080e-04
0,gpu-v2,1000,300,32,kernel,1.740800e-05
0,gpu-v3,1000,300,32,total,3.076160e-04
0,gpu-v3,1000,300,32,kernel,1.942400e-05
0,gpu-v1,1000,300,64,total,3.437568e-03
0,gpu-v1,1000,300,64,kernel,2.560000e-05
0,gpu-v2,1000,300,64,total,4.844224e-03
0,gpu-v2,1000,300,64,kernel,1.635200e-05
0,gpu-v3,1000,300,64,total,3.194240e-04
0,gpu-v3,1000,300,64,kernel,1.536000e-05
0,gpu-v1,1000,300,128,total,3.161280e-04
0,gpu-v1,1000,300,128,kernel,2.662400e-05
0,gpu-v2,1000,300,128,total,3.054720e-04
0,gpu-v2,1000,300,128,kernel,1.536000e-05
0,gpu-v3,1000,300,128,total,3.125120e-04
0,gpu-v3,1000,300,128,kernel,1.433600e-05
0,gpu-v1,1000,300,192,total,3.152000e-04
0,gpu-v1,1000,300,192,kernel,2.560000e-05
0,gpu-v2,1000,300,192,total,3.632320e-04
0,gpu-v2,1000,300,192,kernel,2.150400e-05
0,gpu-v3,1000,300,192,total,4.237760e-04
0,gpu-v3,1000,300,192,kernel,1.433600e-05
0,gpu-v1,1000,300,256,total,4.086176e-03
0,gpu-v1,1000,300,256,kernel,2.969600e-05
0,gpu-v2,1000,300,256,total,4.642880e-04
0,gpu-v2,1000,300,256,kernel,2.662400e-05
0,gpu-v3,1000,300,256,total,4.376960e-04
0,gpu-v3,1000,300,256,kernel,1.638400e-05
0,gpu-v1,1000,300,512,total,4.432960e-04
0,gpu-v1,1000,300,512,kernel,2.969600e-05
0,gpu-v2,1000,300,512,total,4.603520e-04
0,gpu-v2,1000,300,512,kernel,4.608000e-05
0,gpu-v3,1000,300,512,total,4.290560e-04
0,gpu-v3,1000,300,512,kernel,2.048000e-05
0,gpu-v1,1000,300,1024,total,4.430400e-04
0,gpu-v1,1000,300,1024,kernel,3.686400e-05
0,gpu-v2,1000,300,1024,total,5.416320e-04
0,gpu-v2,1000,300,1024,kernel,1.495040e-04
0,gpu-v3,1000,300,1024,total,3.222720e-04
0,gpu-v3,1000,300,1024,kernel,2.969600e-05
0,gpu-v1,1000,3000,32,total,4.002560e-04
0,gpu-v1,1000,3000,32,kernel,1.095680e-04
0,gpu-v2,1000,3000,32,total,3.725440e-04
0,gpu-v2,1000,3000,32,kernel,9.011200e-05
0,gpu-v3,1000,3000,32,total,3.802880e-04
0,gpu-v3,1000,3000,32,kernel,9.529600e-05
0,gpu-v1,1000,3000,64,total,3.997760e-04
0,gpu-v1,1000,3000,64,kernel,1.105600e-04
0,gpu-v2,1000,3000,64,total,3.625600e-04
0,gpu-v2,1000,3000,64,kernel,7.680000e-05
0,gpu-v3,1000,3000,64,total,3.623488e-03
0,gpu-v3,1000,3000,64,kernel,6.963200e-05
0,gpu-v1,1000,3000,128,total,4.308160e-04
0,gpu-v1,1000,3000,128,kernel,1.116160e-04
0,gpu-v2,1000,3000,128,total,3.661760e-04
0,gpu-v2,1000,3000,128,kernel,7.168000e-05
0,gpu-v3,1000,3000,128,total,3.511680e-04
0,gpu-v3,1000,3000,128,kernel,5.632000e-05
0,gpu-v1,1000,3000,192,total,4.022080e-04
0,gpu-v1,1000,3000,192,kernel,1.146880e-04
0,gpu-v2,1000,3000,192,total,3.964800e-04
0,gpu-v2,1000,3000,192,kernel,1.003520e-04
0,gpu-v3,1000,3000,192,total,3.513920e-04
0,gpu-v3,1000,3000,192,kernel,5.836800e-05
0,gpu-v1,1000,3000,256,total,4.106880e-04
0,gpu-v1,1000,3000,256,kernel,1.218560e-04
0,gpu-v2,1000,3000,256,total,3.899840e-04
0,gpu-v2,1000,3000,256,kernel,1.003520e-04
0,gpu-v3,1000,3000,256,total,3.536320e-04
0,gpu-v3,1000,3000,256,kernel,6.553600e-05
0,gpu-v1,1000,3000,512,total,4.548160e-04
0,gpu-v1,1000,3000,512,kernel,1.648960e-04
0,gpu-v2,1000,3000,512,total,4.542080e-04
0,gpu-v2,1000,3000,512,kernel,1.699840e-04
0,gpu-v3,1000,3000,512,total,4.045120e-04
0,gpu-v3,1000,3000,512,kernel,9.728000e-05
0,gpu-v1,1000,3000,1024,total,6.032640e-04
0,gpu-v1,1000,3000,1024,kernel,3.010560e-04
0,gpu-v2,1000,3000,1024,total,6.467840e-04
0,gpu-v2,1000,3000,1024,kernel,3.399680e-04
0,gpu-v3,1000,3000,1024,total,4.908160e-04
0,gpu-v3,1000,3000,1024,kernel,1.884160e-04
0,gpu-v1,1000000,3,32,total,3.695136e-03
0,gpu-v1,1000000,3,32,kernel,6.553600e-05
0,gpu-v2,1000000,3,32,total,1.640832e-03
0,gpu-v2,1000000,3,32,kernel,8.035200e-05
0,gpu-v3,1000000,3,32,total,1.592576e-03
0,gpu-v3,1000000,3,32,kernel,6.649600e-05
0,gpu-v1,1000000,3,64,total,1.594656e-03
0,gpu-v1,1000000,3,64,kernel,3.641600e-05
0,gpu-v2,1000000,3,64,total,1.686912e-03
0,gpu-v2,1000000,3,64,kernel,1.328640e-04
0,gpu-v3,1000000,3,64,total,1.612480e-03
0,gpu-v3,1000000,3,64,kernel,3.862400e-05
0,gpu-v1,1000000,3,128,total,1.577024e-03
0,gpu-v1,1000000,3,128,kernel,2.355200e-05
0,gpu-v2,1000000,3,128,total,1.770656e-03
0,gpu-v2,1000000,3,128,kernel,2.410240e-04
0,gpu-v3,1000000,3,128,total,1.561632e-03
0,gpu-v3,1000000,3,128,kernel,3.065600e-05
0,gpu-v1,1000000,3,192,total,4.168704e-03
0,gpu-v1,1000000,3,192,kernel,2.208000e-05
0,gpu-v2,1000000,3,192,total,1.938336e-03
0,gpu-v2,1000000,3,192,kernel,3.568640e-04
0,gpu-v3,1000000,3,192,total,1.678016e-03
0,gpu-v3,1000000,3,192,kernel,3.193600e-05
0,gpu-v1,1000000,3,256,total,1.547488e-03
0,gpu-v1,1000000,3,256,kernel,2.128000e-05
0,gpu-v2,1000000,3,256,total,2.056192e-03
0,gpu-v2,1000000,3,256,kernel,4.591680e-04
0,gpu-v3,1000000,3,256,total,1.564768e-03
0,gpu-v3,1000000,3,256,kernel,3.107200e-05
0,gpu-v1,1000000,3,512,total,1.565984e-03
0,gpu-v1,1000000,3,512,kernel,2.208000e-05
0,gpu-v2,1000000,3,512,total,4.796800e-03
0,gpu-v2,1000000,3,512,kernel,9.162880e-04
0,gpu-v3,1000000,3,512,total,1.572736e-03
0,gpu-v3,1000000,3,512,kernel,3.283200e-05
0,gpu-v1,1000000,3,1024,total,3.252928e-03
0,gpu-v1,1000000,3,1024,kernel,2.265600e-05
0,gpu-v2,1000000,3,1024,total,3.438848e-03
0,gpu-v2,1000000,3,1024,kernel,1.870240e-03
0,gpu-v3,1000000,3,1024,total,1.569408e-03
0,gpu-v3,1000000,3,1024,kernel,3.574400e-05
0,gpu-v1,1000000,30,32,total,1.605760e-03
0,gpu-v1,1000000,30,32,kernel,6.851200e-05
0,gpu-v2,1000000,30,32,total,1.747360e-03
0,gpu-v2,1000000,30,32,kernel,7.952000e-05
0,gpu-v3,1000000,30,32,total,1.610720e-03
0,gpu-v3,1000000,30,32,kernel,6.835200e-05
0,gpu-v1,1000000,30,64,total,4.277376e-03
0,gpu-v1,1000000,30,64,kernel,5.283200e-05
0,gpu-v2,1000000,30,64,total,1.674464e-03
0,gpu-v2,1000000,30,64,kernel,1.327680e-04
0,gpu-v3,1000000,30,64,total,4.341312e-03
0,gpu-v3,1000000,30,64,kernel,5.712000e-05
0,gpu-v1,1000000,30,128,total,1.876288e-03
0,gpu-v1,1000000,30,128,kernel,5.385600e-05
0,gpu-v2,1000000,30,128,total,2.056224e-03
0,gpu-v2,1000000,30,128,kernel,2.438400e-04
0,gpu-v3,1000000,30,128,total,1.855872e-03
0,gpu-v3,1000000,30,128,kernel,5.123200e-05
0,gpu-v1,1000000,30,192,total,1.869856e-03
0,gpu-v1,1000000,30,192,kernel,5.385600e-05
0,gpu-v2,1000000,30,192,total,2.172320e-03
0,gpu-v2,1000000,30,192,kernel,3.563520e-04
0,gpu-v3,1000000,30,192,total,1.713792e-03
0,gpu-v3,1000000,30,192,kernel,6.259200e-05
0,gpu-v1,1000000,30,256,total,1.589344e-03
0,gpu-v1,1000000,30,256,kernel,5.225600e-05
0,gpu-v2,1000000,30,256,total,5.746336e-03
0,gpu-v2,1000000,30,256,kernel,4.598400e-04
0,gpu-v3,1000000,30,256,total,1.593440e-03
0,gpu-v3,1000000,30,256,kernel,4.880000e-05
0,gpu-v1,1000000,30,512,total,1.588672e-03
0,gpu-v1,1000000,30,512,kernel,5.238400e-05
0,gpu-v2,1000000,30,512,total,2.456704e-03
0,gpu-v2,1000000,30,512,kernel,9.163520e-04
0,gpu-v3,1000000,30,512,total,1.587552e-03
0,gpu-v3,1000000,30,512,kernel,4.972800e-05
0,gpu-v1,1000000,30,1024,total,1.599328e-03
0,gpu-v1,1000000,30,1024,kernel,5.574400e-05
0,gpu-v2,1000000,30,1024,total,6.667456e-03
0,gpu-v2,1000000,30,1024,kernel,1.870176e-03
0,gpu-v3,1000000,30,1024,total,1.599616e-03
0,gpu-v3,1000000,30,1024,kernel,5.686400e-05
0,gpu-v1,1000000,300,32,total,3.545504e-03
0,gpu-v1,1000000,300,32,kernel,4.232000e-04
0,gpu-v2,1000000,300,32,total,2.011296e-03
0,gpu-v2,1000000,300,32,kernel,4.542080e-04
0,gpu-v3,1000000,300,32,total,1.876448e-03
0,gpu-v3,1000000,300,32,kernel,3.437120e-04
0,gpu-v1,1000000,300,64,total,8.968608e-03
0,gpu-v1,1000000,300,64,kernel,3.969600e-04
0,gpu-v2,1000000,300,64,total,2.430080e-03
0,gpu-v2,1000000,300,64,kernel,4.499200e-04
0,gpu-v3,1000000,300,64,total,4.866496e-03
0,gpu-v3,1000000,300,64,kernel,2.761600e-04
0,gpu-v1,1000000,300,128,total,2.355456e-03
0,gpu-v1,1000000,300,128,kernel,3.959040e-04
0,gpu-v2,1000000,300,128,total,2.300960e-03
0,gpu-v2,1000000,300,128,kernel,5.478720e-04
0,gpu-v3,1000000,300,128,total,1.789504e-03
0,gpu-v3,1000000,300,128,kernel,2.576960e-04
0,gpu-v1,1000000,300,192,total,1.932288e-03
0,gpu-v1,1000000,300,192,kernel,3.955200e-04
0,gpu-v2,1000000,300,192,total,2.141088e-03
0,gpu-v2,1000000,300,192,kernel,5.855680e-04
0,gpu-v3,1000000,300,192,total,1.158400e-02
0,gpu-v3,1000000,300,192,kernel,2.610880e-04
0,gpu-v1,1000000,300,256,total,3.035776e-03
0,gpu-v1,1000000,300,256,kernel,4.022400e-04
0,gpu-v2,1000000,300,256,total,3.360832e-03
0,gpu-v2,1000000,300,256,kernel,7.770560e-04
0,gpu-v3,1000000,300,256,total,2.408416e-03
0,gpu-v3,1000000,300,256,kernel,2.725440e-04
0,gpu-v1,1000000,300,512,total,1.952768e-03
0,gpu-v1,1000000,300,512,kernel,3.954880e-04
0,gpu-v2,1000000,300,512,total,6.912704e-03
0,gpu-v2,1000000,300,512,kernel,9.167680e-04
0,gpu-v3,1000000,300,512,total,1.862848e-03
0,gpu-v3,1000000,300,512,kernel,3.056640e-04
0,gpu-v1,1000000,300,1024,total,1.948608e-03
0,gpu-v1,1000000,300,1024,kernel,4.104320e-04
0,gpu-v2,1000000,300,1024,total,3.424640e-03
0,gpu-v2,1000000,300,1024,kernel,1.870688e-03
0,gpu-v3,1000000,300,1024,total,1.839392e-03
0,gpu-v3,1000000,300,1024,kernel,2.997120e-04
0,gpu-v1,1000000,3000,32,total,6.019552e-03
0,gpu-v1,1000000,3000,32,kernel,3.937120e-03
0,gpu-v2,1000000,3000,32,total,5.522304e-03
0,gpu-v2,1000000,3000,32,kernel,3.963200e-03
0,gpu-v3,1000000,3000,32,total,4.572608e-03
0,gpu-v3,1000000,3000,32,kernel,3.040416e-03
0,gpu-v1,1000000,3000,64,total,5.461536e-03
0,gpu-v1,1000000,3000,64,kernel,3.877952e-03
0,gpu-v2,1000000,3000,64,total,5.321056e-03
0,gpu-v2,1000000,3000,64,kernel,3.792864e-03
0,gpu-v3,1000000,3000,64,total,3.975648e-03
0,gpu-v3,1000000,3000,64,kernel,2.439392e-03
0,gpu-v1,1000000,3000,128,total,5.410592e-03
0,gpu-v1,1000000,3000,128,kernel,3.887872e-03
0,gpu-v2,1000000,3000,128,total,1.887994e-02
0,gpu-v2,1000000,3000,128,kernel,3.743456e-03
0,gpu-v3,1000000,3000,128,total,6.720384e-03
0,gpu-v3,1000000,3000,128,kernel,2.027648e-03
0,gpu-v1,1000000,3000,192,total,5.361984e-03
0,gpu-v1,1000000,3000,192,kernel,3.542144e-03
0,gpu-v2,1000000,3000,192,total,7.312384e-03
0,gpu-v2,1000000,3000,192,kernel,3.646272e-03
0,gpu-v3,1000000,3000,192,total,7.908896e-03
0,gpu-v3,1000000,3000,192,kernel,2.012320e-03
0,gpu-v1,1000000,3000,256,total,9.154080e-03
0,gpu-v1,1000000,3000,256,kernel,3.539744e-03
0,gpu-v2,1000000,3000,256,total,5.069760e-03
0,gpu-v2,1000000,3000,256,kernel,3.521600e-03
0,gpu-v3,1000000,3000,256,total,3.530464e-03
0,gpu-v3,1000000,3000,256,kernel,1.960352e-03
0,gpu-v1,1000000,3000,512,total,5.208960e-03
0,gpu-v1,1000000,3000,512,kernel,3.582688e-03
0,gpu-v2,1000000,3000,512,total,5.223008e-03
0,gpu-v2,1000000,3000,512,kernel,3.702976e-03
0,gpu-v3,1000000,3000,512,total,4.786560e-03
0,gpu-v3,1000000,3000,512,kernel,1.963552e-03
0,gpu-v1,1000000,3000,1024,total,5.136192e-03
0,gpu-v1,1000000,3000,1024,kernel,3.574336e-03
0,gpu-v2,1000000,3000,1024,total,5.502816e-03
0,gpu-v2,1000000,3000,1024,kernel,3.951552e-03
0,gpu-v3,1000000,3000,1024,total,6.011360e-03
0,gpu-v3,1000000,3000,1024,kernel,2.120736e-03
0,gpu-v1,64000000,3,32,total,1.130047e-01
0,gpu-v1,64000000,3,32,kernel,3.250752e-03
0,gpu-v2,64000000,3,32,total,9.313194e-02
0,gpu-v2,64000000,3,32,kernel,4.010080e-03
0,gpu-v3,64000000,3,32,total,9.422000e-02
0,gpu-v3,64000000,3,32,kernel,3.254240e-03
0,gpu-v1,64000000,3,64,total,9.283741e-02
0,gpu-v1,64000000,3,64,kernel,1.631200e-03
0,gpu-v2,64000000,3,64,total,9.689229e-02
0,gpu-v2,64000000,3,64,kernel,6.932864e-03
0,gpu-v3,64000000,3,64,total,8.610246e-02
0,gpu-v3,64000000,3,64,kernel,1.632032e-03
0,gpu-v1,64000000,3,128,total,1.621784e-01
0,gpu-v1,64000000,3,128,kernel,9.298560e-04
0,gpu-v2,64000000,3,128,total,9.954707e-02
0,gpu-v2,64000000,3,128,kernel,1.317789e-02
0,gpu-v3,64000000,3,128,total,8.943453e-02
0,gpu-v3,64000000,3,128,kernel,1.343616e-03
0,gpu-v1,64000000,3,192,total,9.044464e-02
0,gpu-v1,64000000,3,192,kernel,9.150080e-04
0,gpu-v2,64000000,3,192,total,1.226713e-01
0,gpu-v2,64000000,3,192,kernel,1.945462e-02
0,gpu-v3,64000000,3,192,total,8.632991e-02
0,gpu-v3,64000000,3,192,kernel,1.361952e-03
0,gpu-v1,64000000,3,256,total,8.775811e-02
0,gpu-v1,64000000,3,256,kernel,9.096960e-04
0,gpu-v2,64000000,3,256,total,1.119590e-01
0,gpu-v2,64000000,3,256,kernel,2.568663e-02
0,gpu-v3,64000000,3,256,total,9.250179e-02
0,gpu-v3,64000000,3,256,kernel,1.307904e-03
0,gpu-v1,64000000,3,512,total,1.388286e-01
0,gpu-v1,64000000,3,512,kernel,9.117440e-04
0,gpu-v2,64000000,3,512,total,1.366257e-01
0,gpu-v2,64000000,3,512,kernel,5.065462e-02
0,gpu-v3,64000000,3,512,total,8.836161e-02
0,gpu-v3,64000000,3,512,kernel,1.339968e-03
0,gpu-v1,64000000,3,1024,total,8.732099e-02
0,gpu-v1,64000000,3,1024,kernel,9.124800e-04
0,gpu-v2,64000000,3,1024,total,1.862553e-01
0,gpu-v2,64000000,3,1024,kernel,1.001545e-01
0,gpu-v3,64000000,3,1024,total,8.798739e-02
0,gpu-v3,64000000,3,1024,kernel,1.479552e-03
0,gpu-v1,64000000,30,32,total,8.998752e-02
0,gpu-v1,64000000,30,32,kernel,3.334496e-03
0,gpu-v2,64000000,30,32,total,1.002116e-01
0,gpu-v2,64000000,30,32,kernel,3.963264e-03
0,gpu-v3,64000000,30,32,total,1.532176e-01
0,gpu-v3,64000000,30,32,kernel,3.275712e-03
0,gpu-v1,64000000,30,64,total,9.673212e-02
0,gpu-v1,64000000,30,64,kernel,2.424544e-03
0,gpu-v2,64000000,30,64,total,9.509978e-02
0,gpu-v2,64000000,30,64,kernel,6.937120e-03
0,gpu-v3,64000000,30,64,total,8.871350e-02
0,gpu-v3,64000000,30,64,kernel,2.635040e-03
0,gpu-v1,64000000,30,128,total,8.855635e-02
0,gpu-v1,64000000,30,128,kernel,2.388160e-03
0,gpu-v2,64000000,30,128,total,1.039225e-01
0,gpu-v2,64000000,30,128,kernel,1.317392e-02
0,gpu-v3,64000000,30,128,total,8.881207e-02
0,gpu-v3,64000000,30,128,kernel,2.267744e-03
0,gpu-v1,64000000,30,192,total,8.830079e-02
0,gpu-v1,64000000,30,192,kernel,2.385152e-03
0,gpu-v2,64000000,30,192,total,1.053260e-01
0,gpu-v2,64000000,30,192,kernel,1.944842e-02
0,gpu-v3,64000000,30,192,total,8.823375e-02
0,gpu-v3,64000000,30,192,kernel,2.204320e-03
0,gpu-v1,64000000,30,256,total,9.161130e-02
0,gpu-v1,64000000,30,256,kernel,2.388768e-03
0,gpu-v2,64000000,30,256,total,1.302397e-01
0,gpu-v2,64000000,30,256,kernel,2.569219e-02
0,gpu-v3,64000000,30,256,total,1.251406e-01
0,gpu-v3,64000000,30,256,kernel,2.197504e-03
0,gpu-v1,64000000,30,512,total,8.917472e-02
0,gpu-v1,64000000,30,512,kernel,2.442848e-03
0,gpu-v2,64000000,30,512,total,1.382606e-01
0,gpu-v2,64000000,30,512,kernel,5.065840e-02
0,gpu-v3,64000000,30,512,total,8.842006e-02
0,gpu-v3,64000000,30,512,kernel,2.303392e-03
0,gpu-v1,64000000,30,1024,total,9.042297e-02
0,gpu-v1,64000000,30,1024,kernel,2.564640e-03
0,gpu-v2,64000000,30,1024,total,1.861027e-01
0,gpu-v2,64000000,30,1024,kernel,1.001188e-01
0,gpu-v3,64000000,30,1024,total,8.916067e-02
0,gpu-v3,64000000,30,1024,kernel,2.652896e-03
0,gpu-v1,64000000,300,32,total,1.096170e-01
0,gpu-v1,64000000,300,32,kernel,2.367296e-02
0,gpu-v2,64000000,300,32,total,1.142193e-01
0,gpu-v2,64000000,300,32,kernel,2.502809e-02
0,gpu-v3,64000000,300,32,total,1.786935e-01
0,gpu-v3,64000000,300,32,kernel,1.875255e-02
0,gpu-v1,64000000,300,64,total,1.075456e-01
0,gpu-v1,64000000,300,64,kernel,2.140182e-02
0,gpu-v2,64000000,300,64,total,1.132527e-01
0,gpu-v2,64000000,300,64,kernel,2.462080e-02
0,gpu-v3,64000000,300,64,total,1.012966e-01
0,gpu-v3,64000000,300,64,kernel,1.477459e-02
0,gpu-v1,64000000,300,128,total,1.074119e-01
0,gpu-v1,64000000,300,128,kernel,2.138042e-02
0,gpu-v2,64000000,300,128,total,1.210092e-01
0,gpu-v2,64000000,300,128,kernel,3.031974e-02
0,gpu-v3,64000000,300,128,total,1.006608e-01
0,gpu-v3,64000000,300,128,kernel,1.388301e-02
0,gpu-v1,64000000,300,192,total,1.073323e-01
0,gpu-v1,64000000,300,192,kernel,2.135357e-02
0,gpu-v2,64000000,300,192,total,1.199806e-01
0,gpu-v2,64000000,300,192,kernel,3.231507e-02
0,gpu-v3,64000000,300,192,total,1.003642e-01
0,gpu-v3,64000000,300,192,kernel,1.390099e-02
0,gpu-v1,64000000,300,256,total,1.081496e-01
0,gpu-v1,64000000,300,256,kernel,2.133894e-02
0,gpu-v2,64000000,300,256,total,1.374735e-01
0,gpu-v2,64000000,300,256,kernel,4.260640e-02
0,gpu-v3,64000000,300,256,total,1.551249e-01
0,gpu-v3,64000000,300,256,kernel,1.439866e-02
0,gpu-v1,64000000,300,512,total,1.087126e-01
0,gpu-v1,64000000,300,512,kernel,2.124493e-02
0,gpu-v2,64000000,300,512,total,1.339419e-01
0,gpu-v2,64000000,300,512,kernel,5.065306e-02
0,gpu-v3,64000000,300,512,total,1.028394e-01
0,gpu-v3,64000000,300,512,kernel,1.651642e-02
0,gpu-v1,64000000,300,1024,total,1.074922e-01
0,gpu-v1,64000000,300,1024,kernel,2.147312e-02
0,gpu-v2,64000000,300,1024,total,1.883926e-01
0,gpu-v2,64000000,300,1024,kernel,1.002087e-01
0,gpu-v3,64000000,300,1024,total,1.061892e-01
0,gpu-v3,64000000,300,1024,kernel,1.564176e-02
0,gpu-v1,64000000,3000,32,total,3.044197e-01
0,gpu-v1,64000000,3000,32,kernel,2.154505e-01
0,gpu-v2,64000000,3000,32,total,3.843414e-01
0,gpu-v2,64000000,3000,32,kernel,2.217754e-01
0,gpu-v3,64000000,3000,32,total,2.561186e-01
0,gpu-v3,64000000,3000,32,kernel,1.701317e-01
0,gpu-v1,64000000,3000,64,total,2.973380e-01
0,gpu-v1,64000000,3000,64,kernel,2.112920e-01
0,gpu-v2,64000000,3000,64,total,3.017831e-01
0,gpu-v2,64000000,3000,64,kernel,2.101873e-01
0,gpu-v3,64000000,3000,64,total,2.219663e-01
0,gpu-v3,64000000,3000,64,kernel,1.353899e-01
0,gpu-v1,64000000,3000,128,total,2.972994e-01
0,gpu-v1,64000000,3000,128,kernel,2.112965e-01
0,gpu-v2,64000000,3000,128,total,3.559168e-01
0,gpu-v2,64000000,3000,128,kernel,2.103277e-01
0,gpu-v3,64000000,3000,128,total,2.096734e-01
0,gpu-v3,64000000,3000,128,kernel,1.235055e-01
0,gpu-v1,64000000,3000,192,total,2.980772e-01
0,gpu-v1,64000000,3000,192,kernel,2.109773e-01
0,gpu-v2,64000000,3000,192,total,3.144897e-01
0,gpu-v2,64000000,3000,192,kernel,2.195095e-01
0,gpu-v3,64000000,3000,192,total,2.084026e-01
0,gpu-v3,64000000,3000,192,kernel,1.221898e-01
0,gpu-v1,64000000,3000,256,total,2.988950e-01
0,gpu-v1,64000000,3000,256,kernel,2.109059e-01
0,gpu-v2,64000000,3000,256,total,3.786766e-01
0,gpu-v2,64000000,3000,256,kernel,2.118178e-01
0,gpu-v3,64000000,3000,256,total,2.030231e-01
0,gpu-v3,64000000,3000,256,kernel,1.196786e-01
0,gpu-v1,64000000,3000,512,total,3.213958e-01
0,gpu-v1,64000000,3000,512,kernel,2.105051e-01
0,gpu-v2,64000000,3000,512,total,3.122410e-01
